LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01009462,Birmingham 018F,21.027,-1.83168,52.5376,Burglary,20
E01009740,Dudley 023B,36.625,-2.13752,52.4762,Burglary,20
E01010532,Wolverhampton 034B,44.804,-2.10683,52.5477,Burglary,20
E01009183,Birmingham 088C,17.694,-1.89931,52.4479,Burglary,20
E01009172,Birmingham 119A,49.213,-1.98683,52.4114,Burglary,20
E01010370,Walsall 030B,44.984,-1.97545,52.5809,Burglary,20
E01009382,Birmingham 140C,43.929,-1.86525,52.4494,Burglary,20
E01010009,Sandwell 012B,25.209,-1.95147,52.5346,Burglary,20
E01009941,Sandwell 032D,33.482,-1.99827,52.4879,Burglary,20
E01010098,Sandwell 013D,46.786,-2.00781,52.5442,Burglary,20
E01010181,Solihull 029B,3.805,-1.84738,52.3892,Burglary,20
E01010476,Wolverhampton 015E,39.922,-2.09492,52.5979,Burglary,20
E01010464,Wolverhampton 020B,56.706,-2.13921,52.5823,Burglary,20
E01009423,Birmingham 002C,25.804,-1.8249,52.5992,Burglary,20
E01009358,Birmingham 047B,64.81,-1.92363,52.4983,Burglary,20
